,WBL_AUD_DT_x,sales
0,2019/9/19,243
1,2019/9/20,27
2,2019/9/21,45
3,2019/9/22,311
4,2019/9/23,55
5,2019/9/24,55
6,2019/9/25,76
7,2019/9/26,57
8,2019/9/27,187
9,2019/9/28,54
10,2019/9/29,52
11,2019/9/30,159
12,2019/10/1,69
13,2019/10/2,35
14,2019/10/3,0
15,2019/10/4,49
16,2019/10/5,160
17,2019/10/6,67
18,2019/10/7,74
19,2019/10/8,30
20,2019/10/9,17
21,2019/10/10,736
22,2019/10/11,85
23,2019/10/12,46
24,2019/10/13,18
25,2019/10/14,255
26,2019/10/15,181
27,2019/10/16,390
28,2019/10/17,209
29,2019/10/18,363
30,2019/10/19,74
31,2019/10/20,0
32,2019/10/21,65
33,2019/10/22,226
34,2019/10/23,0
35,2019/10/24,2
36,2019/10/25,0
37,2019/10/26,2
